Type,Measurement 1,Data 1,Measurement 2,Data 2,Measurement 3,Data 3
Type 0,Total Transactions,88,Time used,13.171126,Throughput,6.681281
Type 1,Total Transactions,88,Time used,1.411172,Throughput,62.359501
Type 2,Total Transactions,9,Time used,77.036316,Throughput,0.116828
Type 3,Total Transactions,9,Time used,0.098194,Throughput,91.655441
Type 4,Total Transactions,12,Time used,11.888690,Throughput,1.009363
Type 5,Total Transactions,16,Time used,7.685440,Throughput,2.081859
Overall,Total Transactions,222,Time used,111.290932,Throughput,1.994772
-,-,-,-,-,-,-
Type 0,Total Transactions,77,Time used,6.982586,Throughput,11.027433
Type 1,Total Transactions,114,Time used,1.293648,Throughput,88.122902
Type 2,Total Transactions,18,Time used,125.934929,Throughput,0.142931
Type 3,Total Transactions,11,Time used,0.302924,Throughput,36.312794
Type 4,Total Transactions,8,Time used,12.139040,Throughput,0.659031
Type 5,Total Transactions,6,Time used,3.009753,Throughput,1.993519
Overall,Total Transactions,234,Time used,149.662872,Throughput,1.563514
-,-,-,-,-,-,-
Type 0,Total Transactions,92,Time used,12.674625,Throughput,7.258597
Type 1,Total Transactions,95,Time used,2.854054,Throughput,33.285984
Type 2,Total Transactions,8,Time used,67.412987,Throughput,0.118671
Type 3,Total Transactions,10,Time used,0.204066,Throughput,49.003761
Type 4,Total Transactions,5,Time used,7.717712,Throughput,0.647860
Type 5,Total Transactions,9,Time used,5.627777,Throughput,1.599211
Overall,Total Transactions,219,Time used,96.491219,Throughput,2.269637
-,-,-,-,-,-,-
Type 0,Total Transactions,101,Time used,16.537661,Throughput,6.107273
Type 1,Total Transactions,102,Time used,2.425010,Throughput,42.061676
Type 2,Total Transactions,14,Time used,98.042992,Throughput,0.142795
Type 3,Total Transactions,11,Time used,0.135193,Throughput,81.365257
Type 4,Total Transactions,7,Time used,6.455058,Throughput,1.084421
Type 5,Total Transactions,13,Time used,6.189952,Throughput,2.100178
Overall,Total Transactions,248,Time used,129.785858,Throughput,1.910840
-,-,-,-,-,-,-
Type 0,Total Transactions,97,Time used,13.115149,Throughput,7.396028
Type 1,Total Transactions,91,Time used,2.698037,Throughput,33.728226
Type 2,Total Transactions,13,Time used,99.018143,Throughput,0.131289
Type 3,Total Transactions,13,Time used,0.196476,Throughput,66.165916
Type 4,Total Transactions,9,Time used,9.654426,Throughput,0.932215
Type 5,Total Transactions,5,Time used,1.442565,Throughput,3.466048
Overall,Total Transactions,228,Time used,126.124794,Throughput,1.807733
-,-,-,-,-,-,-
Type 0,Total Transactions,102,Time used,18.662334,Throughput,5.465554
Type 1,Total Transactions,84,Time used,2.907097,Throughput,28.894802
Type 2,Total Transactions,11,Time used,82.587112,Throughput,0.133193
Type 3,Total Transactions,8,Time used,0.132572,Throughput,60.344727
Type 4,Total Transactions,8,Time used,7.607553,Throughput,1.051587
Type 5,Total Transactions,10,Time used,4.492154,Throughput,2.226104
Overall,Total Transactions,223,Time used,116.388817,Throughput,1.915992
-,-,-,-,-,-,-
Type 0,Total Transactions,108,Time used,19.409620,Throughput,5.564251
Type 1,Total Transactions,72,Time used,1.188815,Throughput,60.564507
Type 2,Total Transactions,12,Time used,93.586502,Throughput,0.128224
Type 3,Total Transactions,11,Time used,0.205360,Throughput,53.564468
Type 4,Total Transactions,5,Time used,4.599963,Throughput,1.086965
Type 5,Total Transactions,2,Time used,0.693043,Throughput,2.885822
Overall,Total Transactions,210,Time used,119.683304,Throughput,1.754631
-,-,-,-,-,-,-
Type 0,Total Transactions,96,Time used,10.340739,Throughput,9.283669
Type 1,Total Transactions,90,Time used,1.401189,Throughput,64.231171
Type 2,Total Transactions,10,Time used,82.182930,Throughput,0.121680
Type 3,Total Transactions,8,Time used,0.106814,Throughput,74.896835
Type 4,Total Transactions,13,Time used,12.582854,Throughput,1.033152
Type 5,Total Transactions,7,Time used,3.969044,Throughput,1.763649
Overall,Total Transactions,224,Time used,110.583572,Throughput,2.025617
-,-,-,-,-,-,-
Type 0,Total Transactions,100,Time used,14.196117,Throughput,7.044179
Type 1,Total Transactions,90,Time used,1.583788,Throughput,56.825790
Type 2,Total Transactions,9,Time used,67.610542,Throughput,0.133115
Type 3,Total Transactions,12,Time used,0.337093,Throughput,35.598476
Type 4,Total Transactions,11,Time used,19.713137,Throughput,0.558004
Type 5,Total Transactions,6,Time used,2.129683,Throughput,2.817321
Overall,Total Transactions,228,Time used,105.570358,Throughput,2.159697
-,-,-,-,-,-,-
Type 0,Total Transactions,100,Time used,13.384115,Throughput,7.471544
Type 1,Total Transactions,81,Time used,1.240241,Throughput,65.309891
Type 2,Total Transactions,12,Time used,82.294197,Throughput,0.145818
