Type,Measurement 1,Data 1,Measurement 2,Data 2,Measurement 3,Data 3
Overall,Total Transactions,123,Time used,76.874100,Throughput,1.600019
-,-,-,-,-,-,-
Type 0,Total Transactions,52,Time used,9.077010,Throughput,5.728759
Type 1,Total Transactions,46,Time used,0.860909,Throughput,53.431885
Type 2,Total Transactions,4,Time used,54.378044,Throughput,0.073559
Type 3,Total Transactions,3,Time used,0.062820,Throughput,47.755310
Type 4,Total Transactions,3,Time used,6.644926,Throughput,0.451472
Type 5,Total Transactions,5,Time used,2.299045,Throughput,2.174816
Overall,Total Transactions,113,Time used,73.322754,Throughput,1.541131
-,-,-,-,-,-,-
Type 0,Total Transactions,43,Time used,5.808586,Throughput,7.402835
Type 1,Total Transactions,43,Time used,0.744971,Throughput,57.720356
Type 2,Total Transactions,8,Time used,73.604538,Throughput,0.108689
Type 3,Total Transactions,7,Time used,0.196329,Throughput,35.654526
Type 4,Total Transactions,10,Time used,17.748455,Throughput,0.563429
Type 5,Total Transactions,1,Time used,0.143321,Throughput,6.977363
Overall,Total Transactions,112,Time used,98.246193,Throughput,1.139993
-,-,-,-,-,-,-
Type 0,Total Transactions,53,Time used,16.138264,Throughput,3.284120
Type 1,Total Transactions,55,Time used,1.588338,Throughput,34.627392
Type 2,Total Transactions,4,Time used,42.273865,Throughput,0.094621
Type 3,Total Transactions,5,Time used,0.123935,Throughput,40.343742
Type 4,Total Transactions,3,Time used,3.522689,Throughput,0.851622
Type 5,Total Transactions,4,Time used,7.453478,Throughput,0.536662
Overall,Total Transactions,124,Time used,71.100571,Throughput,1.744009
-,-,-,-,-,-,-
Type 0,Total Transactions,38,Time used,10.905697,Throughput,3.484417
Type 1,Total Transactions,43,Time used,2.973911,Throughput,14.459074
Type 2,Total Transactions,7,Time used,59.166260,Throughput,0.118311
Type 3,Total Transactions,3,Time used,0.052424,Throughput,57.225723
Type 4,Total Transactions,5,Time used,9.388980,Throughput,0.532539
Type 5,Total Transactions,2,Time used,1.962376,Throughput,1.019173
Overall,Total Transactions,98,Time used,84.449638,Throughput,1.160455
-,-,-,-,-,-,-
Type 0,Total Transactions,63,Time used,19.408548,Throughput,3.245992
Type 1,Total Transactions,46,Time used,2.975309,Throughput,15.460580
Type 2,Total Transactions,1,Time used,9.823219,Throughput,0.101800
Type 3,Total Transactions,8,Time used,0.282431,Throughput,28.325510
Type 4,Total Transactions,11,Time used,22.324730,Throughput,0.492727
Type 5,Total Transactions,6,Time used,3.705814,Throughput,1.619077
Overall,Total Transactions,135,Time used,58.520054,Throughput,2.306901
-,-,-,-,-,-,-
Type 0,Total Transactions,43,Time used,11.269527,Throughput,3.815599
Type 1,Total Transactions,49,Time used,1.824089,Throughput,26.862724
Type 2,Total Transactions,2,Time used,33.666351,Throughput,0.059406
Type 3,Total Transactions,5,Time used,0.224621,Throughput,22.259714
Type 4,Total Transactions,4,Time used,7.378156,Throughput,0.542141
Type 5,Total Transactions,9,Time used,6.797473,Throughput,1.324021
Overall,Total Transactions,112,Time used,61.160217,Throughput,1.831256
-,-,-,-,-,-,-
Type 0,Total Transactions,39,Time used,11.774167,Throughput,3.312336
Type 1,Total Transactions,37,Time used,1.105261,Throughput,33.476242
Type 2,Total Transactions,6,Time used,55.159294,Throughput,0.108776
Type 4,Total Transactions,2,Time used,2.196492,Throughput,0.910543
Type 5,Total Transactions,6,Time used,2.401479,Throughput,2.498460
Overall,Total Transactions,90,Time used,72.636703,Throughput,1.239043
-,-,-,-,-,-,-
Type 0,Total Transactions,48,Time used,13.031289,Throughput,3.683442
Type 1,Total Transactions,46,Time used,1.288727,Throughput,35.694149
Type 2,Total Transactions,1,Time used,14.015858,Throughput,0.071348
Type 3,Total Transactions,4,Time used,0.093087,Throughput,42.970474
Type 4,Total Transactions,4,Time used,15.241179,Throughput,0.262447
Type 5,Total Transactions,3,Time used,2.021946,Throughput,1.483719
Overall,Total Transactions,106,Time used,45.692081,Throughput,2.319877
-,-,-,-,-,-,-
Type 0,Total Transactions,47,Time used,9.243402,Throughput,5.084708
Type 1,Total Transactions,47,Time used,1.641980,Throughput,28.623981
Type 2,Total Transactions,2,Time used,23.369999,Throughput,0.085580
Type 3,Total Transactions,2,Time used,0.031352,Throughput,63.791393
Type 4,Total Transactions,8,Time used,29.755930,Throughput,0.268854
Type 5,Total Transactions,7,Time used,4.299524,Throughput,1.628087
Overall,Total Transactions,113,Time used,68.342186,Throughput,1.653444
-,-,-,-,-,-,-
Type 0,Total Transactions,43,Time used,13.298269,Throughput,3.233504
Type 1,Total Transactions,45,Time used,0.874309,Throughput,51.469227
Type 2,Total Transactions,4,Time used,46.916599,Throughput,0.085258
Type 3,Total Transactions,1,Time used,0.030945,Throughput,32.315571
Type 4,Total Transactions,5,Time used,14.209622,Throughput,0.351874
Type 5,Total Transactions,3,Time used,1.960333,Throughput,1.530352
Overall,Total Transactions,101,Time used,77.290077,Throughput,1.306765
-,-,-,-,-,-,-
Type 0,Total Transactions,42,Time used,9.675606,Throughput,4.340814
Type 1,Total Transactions,48,Time used,1.254642,Throughput,38.257927
Type 2,Total Transactions,4,Time used,42.977699,Throughput,0.093072
Type 3,Total Transactions,5,Time used,0.228164,Throughput,21.914057
Type 4,Total Transactions,8,Time used,13.206071,Throughput,0.605782
Type 5,Total Transactions,4,Time used,9.109635,Throughput,0.439096
Overall,Total Transactions,111,Time used,76.451820,Throughput,1.451895
-,-,-,-,-,-,-
Type 0,Total Transactions,53,Time used,15.308008,Throughput,3.462240
Type 1,Total Transactions,53,Time used,1.478850,Throughput,35.838654
Type 2,Total Transactions,2,Time used,27.902746,Throughput,0.071678
Type 3,Total Transactions,7,Time used,0.102226,Throughput,68.476013
Type 4,Total Transactions,4,Time used,7.625999,Throughput,0.524521
Type 5,Total Transactions,9,Time used,7.471895,Throughput,1.204514
Overall,Total Transactions,128,Time used,59.889725,Throughput,2.137261
-,-,-,-,-,-,-
Type 0,Total Transactions,39,Time used,11.804919,Throughput,3.303707
Type 1,Total Transactions,47,Time used,0.753060,Throughput,62.412037
Type 2,Total Transactions,8,Time used,68.976715,Throughput,0.115981
Type 4,Total Transactions,2,Time used,2.963879,Throughput,0.674791
Type 5,Total Transactions,6,Time used,3.070903,Throughput,1.953823
Overall,Total Transactions,102,Time used,87.569481,Throughput,1.164789
-,-,-,-,-,-,-
Type 0,Total Transactions,40,Time used,8.348478,Throughput,4.791292
Type 1,Total Transactions,46,Time used,0.833356,Throughput,55.198509
Type 2,Total Transactions,5,Time used,45.687569,Throughput,0.109439
Type 3,Total Transactions,3,Time used,0.113535,Throughput,26.423538
Type 4,Total Transactions,8,Time used,18.407480,Throughput,0.434606
Type 5,Total Transactions,6,Time used,3.726836,Throughput,1.609945
Overall,Total Transactions,108,Time used,77.117256,Throughput,1.400465
-,-,-,-,-,-,-
