Type,Measurement 1,Data 1,Measurement 2,Data 2,Measurement 3,Data 3
Type 0,Total Transactions,100,Time used,15.612615,Throughput,6.405077
Type 1,Total Transactions,90,Time used,2.761331,Throughput,32.592983
Type 2,Total Transactions,9,Time used,122.226753,Throughput,0.073634
Type 3,Total Transactions,12,Time used,0.161720,Throughput,74.202515
Type 4,Total Transactions,11,Time used,15.863126,Throughput,0.693432
Type 5,Total Transactions,6,Time used,1.938389,Throughput,3.095354
Overall,Total Transactions,228,Time used,158.563919,Throughput,1.437906
-,-,-,-,-,-,-
Type 0,Total Transactions,100,Time used,15.261495,Throughput,6.552438
Type 1,Total Transactions,81,Time used,1.092113,Throughput,74.168137
Type 2,Total Transactions,12,Time used,144.146759,Throughput,0.083248
Type 3,Total Transactions,9,Time used,0.102429,Throughput,87.865921
Type 4,Total Transactions,12,Time used,18.437330,Throughput,0.650853
Type 5,Total Transactions,9,Time used,3.109271,Throughput,2.894569
Overall,Total Transactions,223,Time used,182.149399,Throughput,1.224270
-,-,-,-,-,-,-
Type 0,Total Transactions,102,Time used,17.857935,Throughput,5.711747
Type 1,Total Transactions,84,Time used,1.885764,Throughput,44.544273
Type 2,Total Transactions,11,Time used,141.721863,Throughput,0.077617
Type 3,Total Transactions,8,Time used,0.101764,Throughput,78.613365
Type 4,Total Transactions,8,Time used,8.996170,Throughput,0.889267
Type 5,Total Transactions,10,Time used,4.445260,Throughput,2.249588
Overall,Total Transactions,223,Time used,175.008759,Throughput,1.274222
-,-,-,-,-,-,-
Type 0,Total Transactions,108,Time used,17.657366,Throughput,6.116427
Type 1,Total Transactions,72,Time used,1.070668,Throughput,67.247734
Type 2,Total Transactions,12,Time used,142.353012,Throughput,0.084297
Type 3,Total Transactions,11,Time used,0.246174,Throughput,44.683895
Type 4,Total Transactions,5,Time used,4.829394,Throughput,1.035326
Type 5,Total Transactions,2,Time used,0.776351,Throughput,2.576155
Overall,Total Transactions,210,Time used,166.932953,Throughput,1.257990
-,-,-,-,-,-,-
Type 0,Total Transactions,96,Time used,13.050351,Throughput,7.356124
Type 1,Total Transactions,90,Time used,1.479473,Throughput,60.832481
Type 2,Total Transactions,10,Time used,130.209045,Throughput,0.076800
Type 3,Total Transactions,8,Time used,0.444868,Throughput,17.982876
Type 4,Total Transactions,13,Time used,16.232903,Throughput,0.800843
Type 5,Total Transactions,7,Time used,4.921206,Throughput,1.422416
Overall,Total Transactions,224,Time used,166.337860,Throughput,1.346657
-,-,-,-,-,-,-
Type 0,Total Transactions,97,Time used,12.750442,Throughput,7.607580
Type 1,Total Transactions,91,Time used,2.374996,Throughput,38.315849
Type 2,Total Transactions,5,Time used,65.875099,Throughput,0.075901
Type 3,Total Transactions,7,Time used,0.072482,Throughput,96.575081
Type 4,Total Transactions,9,Time used,9.763744,Throughput,0.921777
Type 5,Total Transactions,9,Time used,2.484961,Throughput,3.621788
Overall,Total Transactions,218,Time used,93.321724,Throughput,2.336005
-,-,-,-,-,-,-
Type 0,Total Transactions,95,Time used,14.238812,Throughput,6.671905
Type 1,Total Transactions,88,Time used,1.593105,Throughput,55.238052
Type 2,Total Transactions,8,Time used,109.016190,Throughput,0.073384
Type 3,Total Transactions,8,Time used,0.132280,Throughput,60.477970
Type 4,Total Transactions,9,Time used,11.811749,Throughput,0.761953
Type 5,Total Transactions,8,Time used,3.206210,Throughput,2.495157
Overall,Total Transactions,216,Time used,139.998337,Throughput,1.542876
-,-,-,-,-,-,-
Type 0,Total Transactions,95,Time used,16.903923,Throughput,5.619997
Type 1,Total Transactions,99,Time used,2.638526,Throughput,37.520950
Type 2,Total Transactions,4,Time used,54.596172,Throughput,0.073265
Type 3,Total Transactions,14,Time used,0.175603,Throughput,79.725143
Type 4,Total Transactions,5,Time used,5.803184,Throughput,0.861596
Type 5,Total Transactions,7,Time used,3.780137,Throughput,1.851785
Overall,Total Transactions,224,Time used,83.897552,Throughput,2.669923
-,-,-,-,-,-,-
Type 0,Total Transactions,88,Time used,11.708643,Throughput,7.515815
Type 1,Total Transactions,88,Time used,1.875314,Throughput,46.925488
Type 2,Total Transactions,9,Time used,131.558807,Throughput,0.068410
Type 3,Total Transactions,9,Time used,0.094050,Throughput,95.693825
Type 4,Total Transactions,12,Time used,12.744195,Throughput,0.941605
Type 5,Total Transactions,16,Time used,6.483016,Throughput,2.467987
Overall,Total Transactions,222,Time used,164.464035,Throughput,1.349839
-,-,-,-,-,-,-
Type 0,Total Transactions,77,Time used,8.063055,Throughput,9.549730
Type 1,Total Transactions,114,Time used,1.733201,Throughput,65.774239
Type 2,Total Transactions,18,Time used,185.276123,Throughput,0.097152
Type 3,Total Transactions,11,Time used,0.149573,Throughput,73.542503
Type 4,Total Transactions,8,Time used,8.626317,Throughput,0.927395
Type 5,Total Transactions,6,Time used,4.930914,Throughput,1.216813
Overall,Total Transactions,234,Time used,208.779160,Throughput,1.120802
-,-,-,-,-,-,-
Type 0,Total Transactions,101,Time used,14.189561,Throughput,7.117909
Type 1,Total Transactions,102,Time used,2.177051,Throughput,46.852375
Type 2,Total Transactions,14,Time used,163.404648,Throughput,0.085677
Type 3,Total Transactions,11,Time used,0.129835,Throughput,84.723244
Type 4,Total Transactions,7,Time used,7.044762,Throughput,0.993646
Type 5,Total Transactions,13,Time used,6.253126,Throughput,2.078960
Overall,Total Transactions,248,Time used,193.198990,Throughput,1.283651
-,-,-,-,-,-,-
Type 0,Total Transactions,89,Time used,10.032244,Throughput,8.871395
Type 1,Total Transactions,96,Time used,1.826700,Throughput,52.553791
Type 2,Total Transactions,13,Time used,158.734940,Throughput,0.081898
Type 3,Total Transactions,5,Time used,0.143287,Throughput,34.894951
Type 4,Total Transactions,7,Time used,9.930223,Throughput,0.704919
Type 5,Total Transactions,7,Time used,2.164735,Throughput,3.233652
Overall,Total Transactions,217,Time used,182.832123,Throughput,1.186881
-,-,-,-,-,-,-
Type 0,Total Transactions,87,Time used,15.845359,Throughput,5.490567
Type 1,Total Transactions,96,Time used,2.174374,Throughput,44.150646
Type 2,Total Transactions,13,Time used,139.228531,Throughput,0.093372
Type 3,Total Transactions,15,Time used,0.267698,Throughput,56.033260
Type 4,Total Transactions,13,Time used,15.600283,Throughput,0.833318
Type 5,Total Transactions,13,Time used,5.167037,Throughput,2.515949
Overall,Total Transactions,237,Time used,178.283279,Throughput,1.329345
-,-,-,-,-,-,-
Type 0,Total Transactions,96,Time used,13.487763,Throughput,7.117563
Type 1,Total Transactions,96,Time used,1.585940,Throughput,60.531925
Type 2,Total Transactions,11,Time used,138.580200,Throughput,0.079376
Type 3,Total Transactions,10,Time used,0.105222,Throughput,95.036728
Type 4,Total Transactions,16,Time used,17.639225,Throughput,0.907069
Type 5,Total Transactions,7,Time used,1.818250,Throughput,3.849856
Overall,Total Transactions,236,Time used,173.216599,Throughput,1.362456
-,-,-,-,-,-,-
Type 0,Total Transactions,101,Time used,13.842125,Throughput,7.296567
Type 1,Total Transactions,88,Time used,1.385694,Throughput,63.506073
Type 2,Total Transactions,17,Time used,176.121887,Throughput,0.096524
Type 3,Total Transactions,6,Time used,0.076973,Throughput,77.949112
