Type,Measurement 1,Data 1,Measurement 2,Data 2,Measurement 3,Data 3
Type 0,Total Transactions,97,Time used,11.415385,Throughput,8.497304
Type 1,Total Transactions,91,Time used,1.349276,Throughput,67.443565
Type 2,Total Transactions,5,Time used,33.985397,Throughput,0.147122
Type 3,Total Transactions,7,Time used,0.088743,Throughput,78.879570
Type 4,Total Transactions,9,Time used,8.427266,Throughput,1.067962
Type 5,Total Transactions,9,Time used,2.417766,Throughput,3.722445
Overall,Total Transactions,218,Time used,57.683834,Throughput,3.779222
-,-,-,-,-,-,-
Type 0,Total Transactions,95,Time used,13.314425,Throughput,7.135119
Type 1,Total Transactions,88,Time used,1.465940,Throughput,60.029747
Type 2,Total Transactions,8,Time used,46.623928,Throughput,0.171586
Type 3,Total Transactions,8,Time used,0.122148,Throughput,65.494415
Type 4,Total Transactions,9,Time used,10.922337,Throughput,0.824000
Type 5,Total Transactions,8,Time used,2.653545,Throughput,3.014834
Overall,Total Transactions,216,Time used,75.102325,Throughput,2.876076
-,-,-,-,-,-,-
Type 0,Total Transactions,95,Time used,12.212208,Throughput,7.779101
Type 1,Total Transactions,99,Time used,1.496315,Throughput,66.162552
Type 2,Total Transactions,4,Time used,23.658964,Throughput,0.169069
Type 3,Total Transactions,14,Time used,0.567473,Throughput,24.670797
Type 4,Total Transactions,5,Time used,6.789482,Throughput,0.736433
Type 5,Total Transactions,7,Time used,2.899793,Throughput,2.413965
Overall,Total Transactions,224,Time used,47.624233,Throughput,4.703488
-,-,-,-,-,-,-
Type 0,Total Transactions,102,Time used,13.360741,Throughput,7.634307
Type 1,Total Transactions,84,Time used,1.253203,Throughput,67.028267
Type 2,Total Transactions,11,Time used,69.680954,Throughput,0.157862
Type 3,Total Transactions,8,Time used,0.113288,Throughput,70.616386
Type 4,Total Transactions,8,Time used,6.236991,Throughput,1.282670
Type 5,Total Transactions,10,Time used,3.722606,Throughput,2.686290
Overall,Total Transactions,223,Time used,94.367783,Throughput,2.363095
-,-,-,-,-,-,-
Type 0,Total Transactions,96,Time used,9.900183,Throughput,9.696791
Type 1,Total Transactions,90,Time used,1.190917,Throughput,75.571991
Type 2,Total Transactions,10,Time used,62.887363,Throughput,0.159014
Type 3,Total Transactions,8,Time used,0.100021,Throughput,79.983360
Type 4,Total Transactions,13,Time used,14.905348,Throughput,0.872170
Type 5,Total Transactions,7,Time used,3.101983,Throughput,2.256621
Overall,Total Transactions,224,Time used,92.085815,Throughput,2.432514
-,-,-,-,-,-,-
Type 0,Total Transactions,108,Time used,12.066748,Throughput,8.950216
Type 1,Total Transactions,72,Time used,1.744747,Throughput,41.266731
Type 2,Total Transactions,12,Time used,69.563980,Throughput,0.172503
Type 3,Total Transactions,11,Time used,0.135385,Throughput,81.249855
Type 4,Total Transactions,5,Time used,3.565109,Throughput,1.402482
Type 5,Total Transactions,2,Time used,0.593517,Throughput,3.369743
Overall,Total Transactions,210,Time used,87.669479,Throughput,2.395360
-,-,-,-,-,-,-
Type 0,Total Transactions,99,Time used,14.131645,Throughput,7.005554
Type 1,Total Transactions,89,Time used,1.635374,Throughput,54.421806
Type 2,Total Transactions,6,Time used,34.774990,Throughput,0.172538
Type 3,Total Transactions,11,Time used,0.246690,Throughput,44.590454
