Type,Measurement 1,Data 1,Measurement 2,Data 2,Measurement 3,Data 3
Type 0,Total Transactions,110,Time used,32.903877,Throughput,3.343071
Type 1,Total Transactions,97,Time used,2.883116,Throughput,33.644150
Type 2,Total Transactions,8,Time used,130.937744,Throughput,0.061098
Type 3,Total Transactions,6,Time used,0.097387,Throughput,61.610100
Type 4,Total Transactions,3,Time used,19.511547,Throughput,0.153755
Type 5,Total Transactions,9,Time used,4.427462,Throughput,2.032767
Overall,Total Transactions,233,Time used,190.761124,Throughput,1.221423
-,-,-,-,-,-,-
Type 0,Total Transactions,108,Time used,26.632500,Throughput,4.055196
Type 1,Total Transactions,75,Time used,1.834922,Throughput,40.873669
Type 2,Total Transactions,11,Time used,159.350220,Throughput,0.069030
Type 3,Total Transactions,11,Time used,0.194684,Throughput,56.501766
Type 4,Total Transactions,11,Time used,19.188145,Throughput,0.573271
Type 5,Total Transactions,5,Time used,2.590757,Throughput,1.929938
Overall,Total Transactions,221,Time used,209.791229,Throughput,1.053428
-,-,-,-,-,-,-
Type 0,Total Transactions,102,Time used,47.203579,Throughput,2.160853
Type 1,Total Transactions,98,Time used,2.975317,Throughput,32.937660
Type 2,Total Transactions,14,Time used,153.882629,Throughput,0.090978
Type 3,Total Transactions,9,Time used,0.207530,Throughput,43.367310
Type 4,Total Transactions,9,Time used,16.699429,Throughput,0.538941
Type 5,Total Transactions,14,Time used,7.840584,Throughput,1.785581
Overall,Total Transactions,246,Time used,228.809082,Throughput,1.075132
-,-,-,-,-,-,-
Type 0,Total Transactions,85,Time used,28.447077,Throughput,2.988005
Type 1,Total Transactions,90,Time used,2.808825,Throughput,32.041862
Type 2,Total Transactions,23,Time used,192.496750,Throughput,0.119483
Type 3,Total Transactions,13,Time used,0.282015,Throughput,46.096882
Type 4,Total Transactions,10,Time used,16.755182,Throughput,0.596830
Type 5,Total Transactions,13,Time used,22.141079,Throughput,0.587144
Overall,Total Transactions,234,Time used,262.930939,Throughput,0.889968
-,-,-,-,-,-,-
Type 0,Total Transactions,95,Time used,35.913921,Throughput,2.645214
Type 1,Total Transactions,91,Time used,2.866566,Throughput,31.745302
Type 2,Total Transactions,9,Time used,114.692383,Throughput,0.078471
Type 3,Total Transactions,6,Time used,0.122856,Throughput,48.837555
Type 4,Total Transactions,10,Time used,42.485527,Throughput,0.235374
Type 5,Total Transactions,14,Time used,8.192006,Throughput,1.708983
Overall,Total Transactions,225,Time used,204.273270,Throughput,1.101466
-,-,-,-,-,-,-
Type 0,Total Transactions,100,Time used,23.850716,Throughput,4.192746
Type 1,Total Transactions,81,Time used,2.018603,Throughput,40.126755
Type 2,Total Transactions,15,Time used,176.122025,Throughput,0.085168
Type 3,Total Transactions,6,Time used,0.170043,Throughput,35.285259
Type 4,Total Transactions,10,Time used,26.009285,Throughput,0.384478
Type 5,Total Transactions,7,Time used,3.409822,Throughput,2.052893
Overall,Total Transactions,219,Time used,231.580505,Throughput,0.945675
-,-,-,-,-,-,-
Type 0,Total Transactions,99,Time used,28.984955,Throughput,3.415565
Type 1,Total Transactions,89,Time used,3.879723,Throughput,22.939781
Type 2,Total Transactions,6,Time used,97.822876,Throughput,0.061335
Type 3,Total Transactions,11,Time used,0.411029,Throughput,26.762089
Type 4,Total Transactions,10,Time used,26.115088,Throughput,0.382920
Type 5,Total Transactions,10,Time used,9.477328,Throughput,1.055150
Overall,Total Transactions,225,Time used,166.690994,Throughput,1.349803
-,-,-,-,-,-,-
Type 0,Total Transactions,101,Time used,38.184990,Throughput,2.645018
Type 1,Total Transactions,72,Time used,4.442366,Throughput,16.207579
Type 2,Total Transactions,10,Time used,143.192719,Throughput,0.069836
Type 3,Total Transactions,5,Time used,0.082903,Throughput,60.311687
Type 4,Total Transactions,4,Time used,19.318258,Throughput,0.207058
Type 5,Total Transactions,7,Time used,3.550136,Throughput,1.971755
Overall,Total Transactions,199,Time used,208.771362,Throughput,0.953196
-,-,-,-,-,-,-
Type 0,Total Transactions,114,Time used,30.636328,Throughput,3.721073
Type 1,Total Transactions,92,Time used,2.677810,Throughput,34.356426
Type 2,Total Transactions,9,Time used,146.640045,Throughput,0.061375
Type 3,Total Transactions,9,Time used,0.209982,Throughput,42.860855
Type 4,Total Transactions,4,Time used,7.328139,Throughput,0.545841
Type 5,Total Transactions,6,Time used,4.567406,Throughput,1.313656
Overall,Total Transactions,234,Time used,192.059692,Throughput,1.218371
-,-,-,-,-,-,-
