Type,Measurement 1,Data 1,Measurement 2,Data 2,Measurement 3,Data 3
Type 0,Total Transactions,103,Time used,18.766315,Throughput,5.488557
Type 1,Total Transactions,78,Time used,1.230115,Throughput,63.408710
Type 2,Total Transactions,8,Time used,50.715618,Throughput,0.157742
Type 3,Total Transactions,11,Time used,0.187440,Throughput,58.685486
Type 4,Total Transactions,9,Time used,13.321705,Throughput,0.675589
Type 5,Total Transactions,8,Time used,8.484322,Throughput,0.942916
Overall,Total Transactions,217,Time used,92.705513,Throughput,2.340745
-,-,-,-,-,-,-
Type 0,Total Transactions,93,Time used,17.608496,Throughput,5.281541
Type 1,Total Transactions,86,Time used,1.519616,Throughput,56.593250
Type 2,Total Transactions,9,Time used,57.802105,Throughput,0.155704
Type 3,Total Transactions,13,Time used,0.183043,Throughput,71.021408
Type 4,Total Transactions,10,Time used,13.809641,Throughput,0.724132
Type 5,Total Transactions,8,Time used,10.990930,Throughput,0.727873
Overall,Total Transactions,219,Time used,101.913826,Throughput,2.148874
-,-,-,-,-,-,-
Type 0,Total Transactions,102,Time used,16.381098,Throughput,6.226689
Type 1,Total Transactions,84,Time used,1.474855,Throughput,56.954739
Type 2,Total Transactions,11,Time used,76.713760,Throughput,0.143390
Type 3,Total Transactions,8,Time used,0.116019,Throughput,68.953949
Type 4,Total Transactions,8,Time used,8.076566,Throughput,0.990520
Type 5,Total Transactions,10,Time used,7.885067,Throughput,1.268220
Overall,Total Transactions,223,Time used,110.647369,Throughput,2.015412
-,-,-,-,-,-,-
Type 0,Total Transactions,96,Time used,21.456423,Throughput,4.474185
Type 1,Total Transactions,90,Time used,2.628755,Throughput,34.236740
Type 2,Total Transactions,10,Time used,66.041298,Throughput,0.151420
Type 3,Total Transactions,8,Time used,0.131617,Throughput,60.782505
Type 4,Total Transactions,13,Time used,16.244007,Throughput,0.800295
Type 5,Total Transactions,7,Time used,3.298873,Throughput,2.121937
Overall,Total Transactions,224,Time used,109.800980,Throughput,2.040055
-,-,-,-,-,-,-
Type 0,Total Transactions,108,Time used,18.906277,Throughput,5.712389
Type 1,Total Transactions,72,Time used,1.179612,Throughput,61.037029
Type 2,Total Transactions,12,Time used,76.306099,Throughput,0.157261
Type 3,Total Transactions,11,Time used,0.223155,Throughput,49.293140
Type 4,Total Transactions,5,Time used,12.707634,Throughput,0.393464
Type 5,Total Transactions,2,Time used,0.675295,Throughput,2.961668
Overall,Total Transactions,210,Time used,109.998062,Throughput,1.909124
-,-,-,-,-,-,-
Type 0,Total Transactions,92,Time used,22.098539,Throughput,4.163171
Type 1,Total Transactions,95,Time used,3.559893,Throughput,26.686195
Type 2,Total Transactions,8,Time used,50.731632,Throughput,0.157693
Type 3,Total Transactions,10,Time used,0.283118,Throughput,35.320911
Type 4,Total Transactions,5,Time used,7.715343,Throughput,0.648059
Type 5,Total Transactions,9,Time used,4.095414,Throughput,2.197580
Overall,Total Transactions,219,Time used,88.483932,Throughput,2.475026
-,-,-,-,-,-,-
Type 0,Total Transactions,97,Time used,16.060913,Throughput,6.039507
Type 1,Total Transactions,91,Time used,2.315746,Throughput,39.296188
Type 2,Total Transactions,13,Time used,82.199600,Throughput,0.158152
Type 3,Total Transactions,13,Time used,0.236713,Throughput,54.918884
Type 4,Total Transactions,9,Time used,12.304790,Throughput,0.731422
Type 5,Total Transactions,5,Time used,1.616313,Throughput,3.093459
Overall,Total Transactions,228,Time used,114.734070,Throughput,1.987204
-,-,-,-,-,-,-
Type 0,Total Transactions,87,Time used,22.004725,Throughput,3.953696
