Type,Measurement 1,Data 1,Measurement 2,Data 2,Measurement 3,Data 3
Type 0,Total Transactions,46,Time used,12.852609,Throughput,3.579040
Type 1,Total Transactions,53,Time used,1.587203,Throughput,33.392071
Type 2,Total Transactions,4,Time used,56.042931,Throughput,0.071374
Type 3,Total Transactions,4,Time used,0.098131,Throughput,40.761982
Type 4,Total Transactions,3,Time used,7.014997,Throughput,0.427655
Type 5,Total Transactions,4,Time used,2.983300,Throughput,1.340797
Overall,Total Transactions,114,Time used,80.579170,Throughput,1.414758
-,-,-,-,-,-,-
Type 0,Total Transactions,38,Time used,10.563691,Throughput,3.597228
Type 1,Total Transactions,42,Time used,1.241933,Throughput,33.818264
Type 2,Total Transactions,4,Time used,55.479603,Throughput,0.072099
Type 3,Total Transactions,2,Time used,0.041387,Throughput,48.324318
Type 4,Total Transactions,6,Time used,16.707588,Throughput,0.359118
Type 5,Total Transactions,4,Time used,2.129450,Throughput,1.878419
Overall,Total Transactions,96,Time used,86.163651,Throughput,1.114159
-,-,-,-,-,-,-
Type 0,Total Transactions,44,Time used,14.590933,Throughput,3.015571
Type 1,Total Transactions,37,Time used,1.089322,Throughput,33.966095
Type 2,Total Transactions,6,Time used,66.985855,Throughput,0.089571
Type 3,Total Transactions,6,Time used,0.183478,Throughput,32.701500
Type 4,Total Transactions,7,Time used,15.105240,Throughput,0.463415
Type 5,Total Transactions,2,Time used,1.199588,Throughput,1.667239
Overall,Total Transactions,102,Time used,99.154411,Throughput,1.028699
-,-,-,-,-,-,-
Type 0,Total Transactions,44,Time used,14.056936,Throughput,3.130127
Type 1,Total Transactions,44,Time used,1.638452,Throughput,26.854620
Type 2,Total Transactions,2,Time used,31.071457,Throughput,0.064368
Type 3,Total Transactions,2,Time used,0.039922,Throughput,50.098095
Type 4,Total Transactions,4,Time used,11.614486,Throughput,0.344398
Type 5,Total Transactions,1,Time used,0.540720,Throughput,1.849385
Overall,Total Transactions,97,Time used,58.961975,Throughput,1.645128
-,-,-,-,-,-,-
Type 0,Total Transactions,58,Time used,15.342694,Throughput,3.780301
Type 1,Total Transactions,48,Time used,1.379755,Throughput,34.788776
Type 2,Total Transactions,1,Time used,13.095811,Throughput,0.076360
Type 3,Total Transactions,4,Time used,0.069300,Throughput,57.719799
Type 4,Total Transactions,8,Time used,26.282068,Throughput,0.304390
Type 5,Total Transactions,5,Time used,3.550256,Throughput,1.408349
Overall,Total Transactions,124,Time used,59.719883,Throughput,2.076360
-,-,-,-,-,-,-
Type 0,Total Transactions,51,Time used,16.009117,Throughput,3.185685
Type 1,Total Transactions,55,Time used,1.458314,Throughput,37.714790
Type 2,Total Transactions,3,Time used,41.962914,Throughput,0.071492
Type 3,Total Transactions,6,Time used,0.449039,Throughput,13.361856
Type 4,Total Transactions,6,Time used,14.408130,Throughput,0.416432
Type 5,Total Transactions,6,Time used,5.183612,Throughput,1.157494
Overall,Total Transactions,127,Time used,79.471123,Throughput,1.598065
-,-,-,-,-,-,-
Type 0,Total Transactions,60,Time used,18.426167,Throughput,3.256239
Type 1,Total Transactions,52,Time used,1.880992,Throughput,27.644991
Type 2,Total Transactions,4,Time used,56.853874,Throughput,0.070356
Type 3,Total Transactions,2,Time used,0.074242,Throughput,26.938934
Type 5,Total Transactions,7,Time used,5.430125,Throughput,1.289105
Overall,Total Transactions,125,Time used,82.665398,Throughput,1.512120
-,-,-,-,-,-,-
Type 0,Total Transactions,45,Time used,9.826579,Throughput,4.579417
Type 1,Total Transactions,41,Time used,1.414461,Throughput,28.986313
Type 2,Total Transactions,7,Time used,75.805717,Throughput,0.092341
Type 3,Total Transactions,2,Time used,0.099462,Throughput,20.108208
Type 4,Total Transactions,2,Time used,3.631968,Throughput,0.550666
Type 5,Total Transactions,6,Time used,8.276409,Throughput,0.724952
Overall,Total Transactions,103,Time used,99.054596,Throughput,1.039831
-,-,-,-,-,-,-
Type 0,Total Transactions,56,Time used,16.807045,Throughput,3.331936
Type 1,Total Transactions,40,Time used,1.170727,Throughput,34.166798
Type 2,Total Transactions,2,Time used,28.135756,Throughput,0.071084
Type 3,Total Transactions,3,Time used,0.064671,Throughput,46.388969
Type 4,Total Transactions,5,Time used,11.628523,Throughput,0.429977
Type 5,Total Transactions,8,Time used,8.317294,Throughput,0.961851
Overall,Total Transactions,114,Time used,66.124008,Throughput,1.724033
-,-,-,-,-,-,-
Type 0,Total Transactions,42,Time used,13.064203,Throughput,3.214892
Type 1,Total Transactions,48,Time used,2.534050,Throughput,18.942007
Type 2,Total Transactions,4,Time used,55.760551,Throughput,0.071735
Type 3,Total Transactions,6,Time used,0.655209,Throughput,9.157379
Type 4,Total Transactions,2,Time used,6.644848,Throughput,0.300985
Type 5,Total Transactions,3,Time used,2.459739,Throughput,1.219641
Overall,Total Transactions,105,Time used,81.118607,Throughput,1.294401
-,-,-,-,-,-,-
Type 0,Total Transactions,41,Time used,8.664422,Throughput,4.731995
Type 1,Total Transactions,43,Time used,1.297561,Throughput,33.139091
Type 2,Total Transactions,9,Time used,84.991447,Throughput,0.105893
Type 3,Total Transactions,4,Time used,0.054439,Throughput,73.476707
