Type,Measurement 1,Data 1,Measurement 2,Data 2,Measurement 3,Data 3
Type 0,Total Transactions,97,Time used,11.789924,Throughput,8.227365
Type 1,Total Transactions,91,Time used,1.308444,Throughput,69.548233
Type 2,Total Transactions,5,Time used,31.449598,Throughput,0.158985
Type 3,Total Transactions,7,Time used,0.088741,Throughput,78.881264
Type 4,Total Transactions,9,Time used,8.566094,Throughput,1.050654
Type 5,Total Transactions,9,Time used,2.449442,Throughput,3.674306
Overall,Total Transactions,218,Time used,55.652245,Throughput,3.917182
-,-,-,-,-,-,-
Type 0,Total Transactions,95,Time used,10.280827,Throughput,9.240502
Type 1,Total Transactions,88,Time used,1.292355,Throughput,68.092735
Type 2,Total Transactions,8,Time used,47.268967,Throughput,0.169244
Type 3,Total Transactions,8,Time used,0.129569,Throughput,61.743038
Type 4,Total Transactions,9,Time used,8.833083,Throughput,1.018897
Type 5,Total Transactions,8,Time used,2.649076,Throughput,3.019921
Overall,Total Transactions,216,Time used,70.453880,Throughput,3.065835
-,-,-,-,-,-,-
Type 0,Total Transactions,95,Time used,12.078502,Throughput,7.865214
Type 1,Total Transactions,99,Time used,1.529137,Throughput,64.742409
Type 2,Total Transactions,4,Time used,24.149147,Throughput,0.165637
Type 3,Total Transactions,14,Time used,0.237861,Throughput,58.857971
Type 4,Total Transactions,5,Time used,5.768247,Throughput,0.866814
Type 5,Total Transactions,7,Time used,3.305392,Throughput,2.117752
Overall,Total Transactions,224,Time used,47.068287,Throughput,4.759043
-,-,-,-,-,-,-
Type 0,Total Transactions,92,Time used,11.306287,Throughput,8.137066
Type 1,Total Transactions,96,Time used,1.549156,Throughput,61.969234
Type 2,Total Transactions,7,Time used,37.960510,Throughput,0.184402
Type 3,Total Transactions,9,Time used,0.172754,Throughput,52.097107
Type 4,Total Transactions,10,Time used,9.850099,Throughput,1.015218
Type 5,Total Transactions,3,Time used,0.573621,Throughput,5.229935
Overall,Total Transactions,217,Time used,61.412426,Throughput,3.533487
-,-,-,-,-,-,-
